id,canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,interval
169,NC(=S)N\N=C\1/CCCc2ccc(Br)cc12,CHEMBL215980,7.77,IC50,B
170,NC(=S)N\N=C\1/CCCc2c(Br)cccc12,CHEMBL385682,5.92,IC50,A
171,NC(=S)NN=C(c1cccc(Br)c1)c2cccc(Br)c2,CHEMBL384296,7.62,IC50,B
172,NC(=S)N\N=C(/c1ccccc1)\c2cccc(Br)c2,CHEMBL376207,7.1,IC50,B
173,CC\C(=N/NC(=S)N)\c1cccc(c1)[N+](=O)[O-],CHEMBL373586,6.07,IC50,B
174,Brc1ccc2CCC=C(C(=O)C=C)c2c1,CHEMBL212718,6.1,IC50,B
175,CCOC(=O)[C@H]1O[C@H]1C(=O)[C@H](CCc2ccccc2)NC(=O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4,CHEMBL249814,7.7,IC50,B
176,CN1CCN(CC1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4,CHEMBL91704,8.3,IC50,C
177,CCOC(=O)[C@@H]1O[C@@H]1C(=O)[C@H](CCc2ccccc2)NC(=O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4,CHEMBL249815,7.3,IC50,B
178,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)[C@@H]3CO3)OCc4ccccc4,CHEMBL330585,8.0,IC50,C
179,CN1CCN(CC1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4,CHEMBL91704,6.66,Ki,B
180,Cc1ccc(C[C@H](NC(=O)c2ccc3OCCOc3c2)C(=O)N[C@@H](CCc4ccccc4)\C=C\S(=O)(=O)c5ccccc5)cc1,CHEMBL401401,7.72,Ki,B
181,Cc1ccc(C[C@H](NC(=O)c2ccccn2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4)cc1,CHEMBL252413,5.77,Ki,A
182,Cc1ccc(C[C@H](NC(=O)c2ccc(cc2)C(F)(F)F)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4)cc1,CHEMBL399181,7.35,Ki,B
183,Cc1ccc(C[C@H](NC(=O)c2cc(F)cc(F)c2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4)cc1,CHEMBL251810,6.46,Ki,B
184,FC(F)(F)c1cccc(C[C@H](NC(=O)c2ccccn2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4)c1,CHEMBL253015,6.82,Ki,B
185,Cc1cccc(C[C@H](NC(=O)c2ccc3OCCOc3c2)C(=O)N[C@@H](CCc4ccccc4)\C=C\S(=O)(=O)c5ccccc5)c1,CHEMBL254903,7.15,Ki,B
186,Cc1cccc(C[C@H](NC(=O)c2ccccn2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4)c1,CHEMBL442284,6.55,Ki,B
187,Cc1cccc(C[C@H](NC(=O)c2ccc(cc2)C(F)(F)F)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4)c1,CHEMBL254066,7.04,Ki,B
188,Cc1cccc(C[C@H](NC(=O)c2cc(F)cc(F)c2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4)c1,CHEMBL400904,7.3,Ki,B
189,O=C(N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)c2ccccc2)[C@H](Cc3ccccc3)NC(=O)c4ccc5OCCOc5c4,CHEMBL399676,7.1,Ki,B
190,O=C(N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)c2ccccc2)[C@H](Cc3ccccc3)NC(=O)c4ccccn4,CHEMBL399591,6.6,Ki,B
191,FC(F)(F)c1ccc(cc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4,CHEMBL254687,7.01,Ki,B
192,Fc1cc(F)cc(c1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4,CHEMBL399675,6.01,Ki,B
193,CN1CCN(CC1)C(=O)N[C@@H](Cc2cccnc2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4,CHEMBL251802,5.44,Ki,A
194,CN1CCN(CC1)C(=O)N[C@@H](Cc2cccc(c2)C(F)(F)F)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4,CHEMBL254902,6.77,Ki,B
195,CN1CCN(CC1)C(=O)N[C@@H](Cc2cccc(C)c2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4,CHEMBL254901,5.48,Ki,A
213,Clc1ccc(CSCC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4)cc1,CHEMBL350888,7.08,Ki,B
214,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)(C)C,CHEMBL160000,8.89,Ki,C
215,CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL161651,8.6,Ki,C
216,CC(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL162695,8.34,Ki,C
217,CC(C)(C)CC(C)(CC(C)(C)C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL161573,8.3,Ki,C
218,CCC(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL161424,8.24,Ki,C
219,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC3CCCCC3)OCc4ccccc4,CHEMBL161508,8.12,Ki,C
220,CC(C)(C)c1ccc(CSCC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4)cc1,CHEMBL346190,7.66,Ki,B
221,CC(C)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL157806,7.52,Ki,B
222,COc1ccc(CSCC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccccc3)NC(=O)OCc4ccccc4)cc1,CHEMBL263133,7.49,Ki,B
223,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC3CCCC3)OCc4ccccc4,CHEMBL159089,7.46,Ki,B
224,O=C(CSCCCc1ccccc1)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccccc3)NC(=O)N4CCOCC4,CHEMBL350102,6.67,Ki,B
225,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCCc3ccccc3,CHEMBL159247,6.88,Ki,B
226,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)N3CCOCC3,CHEMBL161148,7.23,Ki,B
227,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)N2CCOCC2,CHEMBL158629,7.16,Ki,B
228,CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)N3CCOCC3,CHEMBL162250,7.26,Ki,B
229,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)(C)C,CHEMBL161116,7.22,Ki,B
230,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCCc3ccccc3,CHEMBL162474,9.0,Ki,C
231,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)C,CHEMBL258808,8.11,Ki,C
232,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2,CHEMBL161739,8.1,Ki,C
233,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCCc3ccccc3)OCc4ccccc4,CHEMBL103238,8.7,Ki,C
234,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL161817,8.54,Ki,C
235,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCCc3ccccc3)OCc4ccccc4,CHEMBL100849,8.38,Ki,C
236,CC(C)(C)CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL348117,7.98,Ki,B
237,CNC(=O)CSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL351721,7.82,Ki,B
238,CCOC(=O)CSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL348300,7.51,Ki,B
239,CC(=O)NCCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL352896,7.46,Ki,B
240,CCOC(=O)C(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL160273,7.43,Ki,B
241,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSCc3ccccc3)OCc4ccccc4,CHEMBL321988,7.36,Ki,B
242,OCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL261723,6.84,Ki,B
243,SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3,CHEMBL261725,8.36,Ki,C
244,CC(C)(C)OC(=O)NCc1oc(nn1)S(=O)(=O)Cc2ccc(Cl)cc2Cl,CHEMBL261812,4.02,IC50,A
246,N[C@@H](Cc1cc(cc(CP(=O)(O)O)c1O)c2ccc(Cl)cc2Cl)C(=O)O,CHEMBL409024,4.11,IC50,A
248,Oc1ccccc1C(=O)CC2(O)C(=O)Nc3cc(Cl)cc(Cl)c23,CHEMBL259139,4.14,IC50,A
249,[K+].[S-]C(=S)OC1CC2CC1C3CCCC23,CHEMBL404954,4.82,IC50,A
250,Oc1cc2C(=O)Oc3c(O)c(O)cc4C(=O)Oc(c1O)c2c34,CHEMBL6246,4.19,IC50,A
251,OC(=O)C1=CC(=C(c2ccc(O)c(c2)C(=O)O)c3ccc(O)c(c3)C(=O)O)C=CC1=O,CHEMBL275938,4.28,IC50,A
252,C[C@@H]1[C@@H]2C=C[C@@H]1[C@H]([C@@H]2C(=O)O)C3=C4C=CC(=O)C(=C4Oc5c(O)c(O)ccc35)O,CHEMBL261208,4.02,IC50,A
253,OC(=C\C=C/1\C2=C(Oc3c(O)c(O)ccc13)C(=O)C(=O)C=C2)O,CHEMBL258670,4.02,IC50,A
255,CC(C)(C)OC(=O)NCCc1oc(nn1)S(=O)(=O)Cc2ccc(Cl)cc2Cl,CHEMBL259018,4.02,IC50,A
256,O=C(Oc1cccnc1)C2=Cc3ccccc3OC2=O,CHEMBL406555,4.16,IC50,A
260,CCOC(=O)SC1=N\C(=C\c2ccc(cc2)N(C)C)\C(=O)S1,CHEMBL265957,4.14,IC50,A
262,OC(=O)C1=CC(=C(c2ccc(O)c(c2)C(=O)O)c3ccc(O)c(c3)C(=O)O)C=CC1=O,CHEMBL275938,4.55,IC50,A
263,C[C@@H]1[C@@H]2C=C[C@@H]1[C@H]([C@@H]2C(=O)O)C3=C4C=CC(=O)C(=C4Oc5c(O)c(O)ccc35)O,CHEMBL261208,4.35,IC50,A
266,O=C(Oc1cccnc1)C2=Cc3ccccc3OC2=O,CHEMBL406555,4.05,IC50,A
268,[O-][n+]1onc2ccc(\C=N\NC(=S)Nc3ccccc3)cc12,CHEMBL460050,4.11,IC50,A
269,Oc1ccc(\C=N\N=C\c2ccc3no[n+]([O-])c3c2)cc1Br,CHEMBL470290,4.14,IC50,A
270,Oc1ccc(\C=N\N=C\c2ccc3no[n+]([O-])c3c2)cc1,CHEMBL504491,4.0,IC50,A
271,Oc1ccccc1\C=N\N=C\c2ccc3no[n+]([O-])c3c2,CHEMBL444202,4.17,IC50,A
272,NC(=N)N\N=C\c1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1,CHEMBL512308,4.5,IC50,A
273,NC(=S)N\N=C\c1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1,CHEMBL470902,4.37,IC50,A
274,CC(C)C[C@@H]1N[C@H](CCCCC[C@H](NC1=O)\C=C\S(=O)(=O)c2ccccc2)C(=O)Nc3ccccc3,CHEMBL454688,5.7,IC50,A
275,CN1CCN(CC1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCc3ccccc3)\C=C\S(=O)(=O)c4ccccc4,CHEMBL91704,8.4,IC50,C
276,FC(F)(F)c1ccnc(N\N=C\c2ccc(Cl)cc2)n1,CHEMBL455669,4.07,IC50,A
277,[O-][N+](=O)c1ccc(\C=N\Nc2nccc(n2)C(F)(F)F)cc1,CHEMBL453633,4.0,IC50,A
278,Cc1cc(nc(N\N=C\c2ccc(Cl)cc2)n1)C(F)(F)F,CHEMBL462539,4.0,IC50,A
280,COc1ccc(OC)c(CNC(=O)c2oc(nn2)c3ccccc3N)c1,CHEMBL564453,4.35,IC50,A
282,Nc1ccccc1c2oc(nn2)C(=O)Nc3cccc(c3)N4CCCC4,CHEMBL559646,4.0,IC50,A
283,Cc1cc(NC(=O)c2oc(nn2)c3ccccc3N)n[nH]1,CHEMBL541083,4.96,IC50,A
284,CC(C)(C)c1cc(NC(=O)c2oc(nn2)c3ccccc3N)n[nH]1,CHEMBL556466,5.7,IC50,A
285,Nc1ccccc1c2oc(nn2)C(=O)Nc3cc([nH]n3)c4cccs4,CHEMBL560043,6.0,IC50,B
286,Nc1ccccc1c2oc(nn2)C(=O)Nc3cc([nH]n3)c4ccccc4,CHEMBL550751,6.1,IC50,B
287,COc1ccc(cc1)c2cc(NC(=O)c3oc(nn3)c4ccccc4N)n[nH]2,CHEMBL556465,6.7,IC50,B
288,Cc1ccc(cc1)c2cc(NC(=O)c3oc(nn3)c4ccccc4N)n[nH]2,CHEMBL564546,6.3,IC50,B
289,COc1ccc(OC)c(CNC(=O)c2oc(nn2)c3ccccc3N)c1,CHEMBL564453,5.1,IC50,A
290,Nc1ccccc1c2oc(nn2)C(=O)NCc3c(Cl)cccc3Cl,CHEMBL555141,5.1,IC50,A
291,Nc1ccccc1c2oc(nn2)C(=O)Nc3cccc(c3)N4CCCC4,CHEMBL559646,5.16,IC50,A
292,Cc1cc2cc(NC(=O)c3oc(nn3)c4ccccc4N)ccc2[nH]1,CHEMBL555241,5.22,IC50,A
293,Nc1ccccc1c2oc(nn2)C(=O)Nc3ccc4oc5CCCCc5c4c3,CHEMBL551901,5.7,IC50,A
294,Nc1ncccc1C(=O)OCC(=O)Nc2cc(Cl)ccc2Cl,CHEMBL541696,4.57,IC50,A
295,Nc1ccccc1c2oc(nn2)C(=O)Nc3cc([nH]n3)c4cccs4,CHEMBL560043,6.0,IC50,B
296,COc1ccc(OC)c(CNC(=O)c2oc(nn2)c3ccccc3N)c1,CHEMBL564453,5.1,IC50,A
297,Nc1ccccc1c2oc(nn2)C(=O)NC3Cc4ccccc4C3,CHEMBL572120,4.96,IC50,A
298,Nc1ncccc1C(=O)OCC(=O)Nc2cc(Cl)ccc2Cl,CHEMBL541696,4.57,IC50,A
299,Nc1ncccc1C(=O)OCC(=O)Nc2cc(Cl)ccc2Cl,CHEMBL541696,4.5,Ki,A
300,COc1ccc(NC(=O)c2oc(nn2)c3ccccc3N)c(OC)c1,CHEMBL561904,5.52,IC50,A
301,Nc1ccccc1c2oc(nn2)C(=O)NC3CCCCCC3,CHEMBL552725,4.85,IC50,A
302,Nc1ccccc1c2oc(nn2)C(=O)NC3CCCCC3,CHEMBL564809,4.6,IC50,A
303,Nc1ccccc1C(=O)OCC(=O)Nc2cc(Cl)ccc2Cl,CHEMBL559770,4.24,IC50,A
304,Nc1ncccc1C(=O)OCC(=O)Nc2cc(Cl)ccc2Cl,CHEMBL541696,4.11,IC50,A
305,CCC(NC(=O)COC(=O)c1cccnc1N)c2ccc(Br)cc2,CHEMBL562106,4.08,IC50,A
306,Nc1ncccc1C(=O)OCC(=O)NC2CCCCCC2,CHEMBL550694,4.06,IC50,A
307,NC(=O)c1ccsc1NC(=O)COC(=O)c2cc(Br)ccc2N,CHEMBL554709,4.05,IC50,A
310,COc1ccc(cc1)c2cc(NC(=O)c3oc(nn3)c4ccccc4N)n[nH]2,CHEMBL556465,6.7,IC50,B
311,Cc1ccc(cc1)c2cc(NC(=O)c3oc(nn3)c4ccccc4N)n[nH]2,CHEMBL564546,6.3,IC50,B
312,Nc1ccccc1c2oc(nn2)C(=O)Nc3nc(cs3)c4ccc(Cl)cc4,CHEMBL562581,5.52,IC50,A
313,Nc1ccccc1c2oc(nn2)C(=O)NCc3csc(n3)c4cccs4,CHEMBL549616,5.7,IC50,A
314,Nc1ccccc1c2oc(nn2)C(=O)Nc3nnc(s3)c4ccc(Cl)cc4,CHEMBL563023,5.4,IC50,A
315,Nc1ccccc1c2oc(nn2)C(=O)NCc3cccc4nsnc34,CHEMBL550771,5.22,IC50,A
316,Nc1ccccc1c2oc(nn2)C(=O)NCc3ccc4OCOc4c3,CHEMBL550025,5.22,IC50,A
317,Cc1nn(nc1CNC(=O)c2oc(nn2)c3ccccc3N)c4ccccc4,CHEMBL560962,5.16,IC50,A
318,Nc1ccccc1c2oc(nn2)C(=O)NCc3nc4ccccc4[nH]3,CHEMBL557189,4.77,IC50,A
319,Nc1ccccc1c2oc(nn2)C(=O)NC3Cc4ccccc4C3,CHEMBL572120,4.96,IC50,A
320,Nc1ccccc1c2oc(nn2)C(=O)NCc3ccc(c(F)c3)C(F)(F)F,CHEMBL549676,5.0,IC50,A
321,Nc1ccccc1c2oc(nn2)C(=O)NCc3ccc(Cn4cccn4)cc3,CHEMBL550773,5.1,IC50,A
322,Nc1ccccc1c2oc(nn2)C(=O)NCc3ccnc(c3)N4CCSCC4,CHEMBL560840,4.64,IC50,A
323,Nc1ccccc1c2oc(nn2)C(=O)NCc3ccc(Oc4ccccc4)cc3,CHEMBL563328,5.22,IC50,A
324,Nc1ccccc1c2oc(nn2)C(=O)Nc3ccc4[nH]ncc4c3,CHEMBL554300,4.39,IC50,A
325,Cc1oc(CNC(=O)c2oc(nn2)c3ccccc3N)cc1,CHEMBL561361,4.85,IC50,A
326,Nc1ccccc1c2oc(nn2)C(=O)NC3CCc4ccccc34,CHEMBL561239,4.77,IC50,A
327,CC(NC(=O)c1oc(nn1)c2ccccc2N)C34CC5CC(CC(C5)C3)C4,CHEMBL550960,4.75,IC50,A
328,CCN(CC)c1ccc(NC(=O)c2oc(nn2)c3ccccc3N)cc1,CHEMBL562224,4.44,IC50,A
329,Nc1ccccc1c2oc(nn2)C(=O)NCc3ccccc3OC4CCOCC4,CHEMBL554736,4.38,IC50,A
330,Nc1ccccc1c2oc(nn2)C(=O)NCc3ccccc3N4CCOCC4,CHEMBL550965,4.42,IC50,A
331,Nc1ccccc1c2oc(nn2)C(=O)N[C@H]3[C@@H](O)Cc4ccccc34,CHEMBL550633,4.5,IC50,A
332,Nc1ccccc1c2oc(nn2)C(=O)NCc3cccc(c3)N4CCOCC4,CHEMBL560503,4.48,IC50,A
333,CC1C2CCC(C)(C2)C1NC(=O)c3oc(nn3)c4ccccc4N,CHEMBL550634,4.44,IC50,A
334,Nc1ccccc1c2oc(nn2)C(=O)NCc3ccnc(c3)N4CCOCC4,CHEMBL565191,4.08,IC50,A
335,Nc1cccc(F)c1CNC(=O)c2oc(nn2)c3ccccc3N,CHEMBL550836,4.28,IC50,A
336,Nc1ccccc1c2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,CHEMBL563197,4.21,IC50,A
337,Nc1ccccc1c2oc(nn2)C(=O)NCc3cccc(c3)n4cccn4,CHEMBL550287,4.77,IC50,A
338,Nc1ccccc1c2oc(nn2)C(=O)Nc3cc([nH]n3)c4ccccc4,CHEMBL550751,6.1,IC50,B
339,Nc1ccccc1c2oc(nn2)C(=O)Nc3cc([nH]n3)c4cccs4,CHEMBL560043,6.0,IC50,B
340,Cc1cc2cc(NC(=O)c3oc(nn3)c4ccccc4N)ccc2[nH]1,CHEMBL555241,5.22,IC50,A
